,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
1,1,0,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
2,1,1,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
3,2,1,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
4,3,1,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
5,3,2,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
6,4,2,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
7,5,2,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
8,5,3,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
9,5,4,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
10,6,4,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
11,6,5,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
12,7,5,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
13,8,5,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
14,8,6,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
15,9,6,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
16,10,6,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
17,11,6,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
18,11,7,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
19,11,8,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
20,12,8,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
21,13,8,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
0,0,0,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
1,0,1,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
2,1,1,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
3,1,2,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
4,2,2,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
5,3,2,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
6,3,3,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
7,4,3,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
8,4,4,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
9,5,4,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
10,5,5,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
11,6,5,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
12,6,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
13,7,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
14,8,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
15,9,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
16,10,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
17,11,6,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
18,11,7,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
19,12,7,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
20,12,8,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
21,13,8,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d,6ixers,Rival,3,10,13,8
0,0,0,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
1,1,0,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
2,1,1,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
3,2,1,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
4,3,1,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
5,3,2,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
6,4,2,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
7,4,3,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
8,5,3,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
9,5,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
10,6,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
11,7,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
12,8,4,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
13,8,5,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
14,9,5,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
15,9,6,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
16,9,7,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
17,10,7,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
18,11,7,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
19,11,8,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
20,12,8,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
21,12,9,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
22,13,9,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d,Nightlock,Pop,4,9,13,9
0,0,0,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
1,0,1,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
2,0,2,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
3,1,2,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
4,1,3,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
5,2,3,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
6,2,4,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
7,3,4,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
8,4,4,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
9,4,5,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
10,5,5,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
11,6,5,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
12,6,6,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
13,7,6,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
14,8,6,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
15,8,7,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
16,8,8,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
17,9,8,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
18,9,9,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
19,9,10,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
20,10,10,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
21,10,11,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
22,10,12,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
23,10,13,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d,Ozone,Rival,6,10,10,13
0,0,0,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
1,1,0,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
2,1,1,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
3,2,1,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
4,3,1,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
5,4,1,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
6,5,1,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
7,5,2,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
8,5,3,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
9,6,3,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
10,6,4,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
11,7,4,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
12,8,4,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
13,9,4,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
14,9,5,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
15,10,5,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
16,10,6,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
17,11,6,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
18,11,7,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
19,12,7,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
20,12,8,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
21,13,8,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d,Schwa,Colorado Small Batch,5,16,13,8
0,0,0,/teams/events/match_report/?EventGameId=AA0QJSAVjcfY%2bG45Gn8unsuCrQ0rRP3qxDzrM740ziQ%3d,Rival,Grit,10,14,13,6
0,0,0,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
1,0,1,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
2,1,1,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
3,1,2,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
4,2,2,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
5,2,3,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
6,2,4,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
7,3,4,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
8,4,4,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
9,4,5,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
10,5,5,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
11,5,6,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
12,6,6,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
13,6,7,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
14,7,7,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
15,8,7,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
16,8,8,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
17,9,8,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
18,9,9,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
19,10,9,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
20,10,10,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
21,10,11,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
22,11,11,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
23,12,11,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d,Ozone,Nightlock,6,4,11,12
0,0,0,/teams/events/match_report/?EventGameId=L%2fd8gILzc9XhclfYglE5UIM%2b4uxGcSmjLe9QmkfqH1w%3d,Wildfire,Ozone,7,6,12,13
0,0,0,/teams/events/match_report/?EventGameId=XZXk662cRl%2brGvj7KtSZOBdjRGey8TLuExZHK4cOjkA%3d,Phoenix,Nemesis,11,8,13,6
